experimento,fecha_bloque,algoritmo,semilla,lambda,colapso,metrica_sla,costo_por_pedido,unidades_bloque
1,2028-09-04,ACS,4,1.0000,true,,,4826
1,2028-09-04,ACS,5,1.0000,true,,,4826
1,2028-09-04,GRASP_VNS,1,1.0000,true,,,4826
1,2028-09-04,GRASP_VNS,2,1.0000,true,,,4826
1,2028-09-04,GRASP_VNS,3,1.0000,true,,,4826
1,2028-09-04,GRASP_VNS,4,1.0000,true,,,4826
1,2028-09-04,GRASP_VNS,5,1.0000,true,,,4826
1,2028-09-02,ACS,1,1.0000,true,,,4941
1,2028-09-02,ACS,2,1.0000,true,,,4941
1,2028-09-02,ACS,3,1.0000,true,,,4941
1,2028-09-02,ACS,4,1.0000,true,,,4941
1,2028-09-02,ACS,5,1.0000,true,,,4941
1,2028-09-02,GRASP_VNS,1,1.0000,true,,,4941
1,2028-09-02,GRASP_VNS,2,1.0000,true,,,4941
1,2028-09-02,GRASP_VNS,3,1.0000,true,,,4941
1,2028-09-02,GRASP_VNS,4,1.0000,true,,,4941
1,2028-09-02,GRASP_VNS,5,1.0000,true,,,4941
1,2028-10-01,ACS,1,1.0000,true,,,4706
1,2028-10-01,ACS,2,1.0000,true,,,4706
1,2028-10-01,ACS,3,1.0000,true,,,4706
1,2028-10-01,ACS,4,1.0000,true,,,4706
1,2028-10-01,ACS,5,1.0000,true,,,4706
1,2028-10-01,GRASP_VNS,1,1.0000,true,,,4706
1,2028-10-01,GRASP_VNS,2,1.0000,true,,,4706
1,2028-10-01,GRASP_VNS,3,1.0000,true,,,4706
1,2028-10-01,GRASP_VNS,4,1.0000,true,,,4706
1,2028-10-01,GRASP_VNS,5,1.0000,true,,,4706
1,2028-10-06,ACS,1,1.0000,true,,,4684
1,2028-10-06,ACS,2,1.0000,true,,,4684
1,2028-10-06,ACS,3,1.0000,true,,,4684
1,2028-10-06,ACS,4,1.0000,true,,,4684
1,2028-10-06,ACS,5,1.0000,true,,,4684
1,2028-10-06,GRASP_VNS,1,1.0000,true,,,4684
1,2028-10-06,GRASP_VNS,2,1.0000,true,,,4684
1,2028-10-06,GRASP_VNS,3,1.0000,true,,,4684
1,2028-10-06,GRASP_VNS,4,1.0000,true,,,4684
1,2028-10-06,GRASP_VNS,5,1.0000,true,,,4684
1,2028-12-04,ACS,1,1.0000,true,,,4919
1,2028-12-04,ACS,2,1.0000,true,,,4919
1,2028-12-04,ACS,3,1.0000,true,,,4919
1,2028-12-04,ACS,4,1.0000,true,,,4919
1,2028-12-04,ACS,5,1.0000,true,,,4919
1,2028-12-04,GRASP_VNS,1,1.0000,true,,,4919
1,2028-12-04,GRASP_VNS,2,1.0000,true,,,4919
1,2028-12-04,GRASP_VNS,3,1.0000,true,,,4919
1,2028-12-04,GRASP_VNS,4,1.0000,true,,,4919
1,2028-12-04,GRASP_VNS,5,1.0000,true,,,4919
1,2028-06-04,ACS,1,1.0000,true,,,4877
1,2028-06-04,ACS,2,1.0000,true,,,4877
1,2028-06-04,ACS,3,1.0000,true,,,4877
1,2028-06-04,ACS,4,1.0000,true,,,4877
1,2028-06-04,ACS,5,1.0000,true,,,4877
1,2028-06-04,GRASP_VNS,1,1.0000,true,,,4877
1,2028-06-04,GRASP_VNS,2,1.0000,true,,,4877
1,2028-06-04,GRASP_VNS,3,1.0000,true,,,4877
1,2028-06-04,GRASP_VNS,4,1.0000,true,,,4877
1,2028-06-04,GRASP_VNS,5,1.0000,true,,,4877
1,2028-11-05,ACS,1,1.0000,true,,,4706
1,2028-11-05,ACS,2,1.0000,true,,,4706
1,2028-11-05,ACS,3,1.0000,true,,,4706
1,2028-11-05,ACS,4,1.0000,true,,,4706
1,2028-11-05,ACS,5,1.0000,true,,,4706
1,2028-11-05,GRASP_VNS,1,1.0000,true,,,4706
1,2028-11-05,GRASP_VNS,2,1.0000,true,,,4706
1,2028-11-05,GRASP_VNS,3,1.0000,true,,,4706
1,2028-11-05,GRASP_VNS,4,1.0000,true,,,4706
1,2028-11-05,GRASP_VNS,5,1.0000,true,,,4706
1,2028-09-06,ACS,1,1.0000,true,,,4572
1,2028-09-06,ACS,2,1.0000,true,,,4572
1,2028-09-06,ACS,3,1.0000,true,,,4572
1,2028-09-06,ACS,4,1.0000,true,,,4572
1,2028-09-06,ACS,5,1.0000,true,,,4572
1,2028-09-06,GRASP_VNS,1,1.0000,true,,,4572
1,2028-09-06,GRASP_VNS,2,1.0000,true,,,4572
1,2028-09-06,GRASP_VNS,3,1.0000,true,,,4572
1,2028-09-06,GRASP_VNS,4,1.0000,true,,,4572
1,2028-09-06,GRASP_VNS,5,1.0000,true,,,4572
1,2028-11-01,ACS,1,1.0000,true,,,4543
1,2028-11-01,ACS,2,1.0000,true,,,4543
1,2028-11-01,ACS,3,1.0000,true,,,4543
1,2028-11-01,ACS,4,1.0000,true,,,4543
1,2028-11-01,ACS,5,1.0000,true,,,4543
1,2028-11-01,GRASP_VNS,1,1.0000,true,,,4543
1,2028-11-01,GRASP_VNS,2,1.0000,true,,,4543
1,2028-11-01,GRASP_VNS,3,1.0000,true,,,4543
1,2028-11-01,GRASP_VNS,4,1.0000,true,,,4543
1,2028-11-01,GRASP_VNS,5,1.0000,true,,,4543
1,2028-11-02,ACS,1,1.0000,true,,,4585
