fecha_bloque,algoritmo,valor
2027-08-01,ACS,2956.4063
2027-08-01,GRASP_VNS,4054.5000
2027-08-07,ACS,2741.0000
2027-08-07,GRASP_VNS,4368.4688
2027-06-09,ACS,3162.5000
2027-06-09,GRASP_VNS,4032.1875
2027-10-06,ACS,3319.7188
2027-10-06,GRASP_VNS,4129.4063
2027-11-05,ACS,2412.0000
2027-11-05,GRASP_VNS,4824.0000
2027-10-08,ACS,2511.0000
2027-10-08,GRASP_VNS,3766.5000
2027-08-06,ACS,2533.0000
2027-08-06,GRASP_VNS,3799.5000
2027-06-02,ACS,2461.0000
2027-06-02,GRASP_VNS,3768.4063
2027-11-01,ACS,2406.0000
2027-11-01,GRASP_VNS,3759.3750
2027-07-01,ACS,2426.0000
2027-07-01,GRASP_VNS,3866.4375
2027-07-10,ACS,2786.0625
2027-07-10,GRASP_VNS,4572.0000
2027-08-04,ACS,3511.8125
2027-08-04,GRASP_VNS,4122.5625
2027-06-03,ACS,2822.6875
2027-06-03,GRASP_VNS,4234.0313
2027-09-02,ACS,2354.0000
2027-09-02,GRASP_VNS,3604.5625
2027-07-06,ACS,3531.0000
2027-07-06,GRASP_VNS,4708.0000
2027-10-02,ACS,2893.7500
2027-10-02,GRASP_VNS,4630.0000
2027-05-01,ACS,3677.3750
2027-05-01,GRASP_VNS,4526.0000
2027-05-03,ACS,2964.9375
2027-05-03,GRASP_VNS,4518.0000
2027-05-05,ACS,3451.4375
2027-05-05,GRASP_VNS,4508.0000
2027-09-01,ACS,3822.5625
2027-09-01,GRASP_VNS,4560.2500
