fecha_bloque,algoritmo,valor
2027-08-01,ACS,2703.0000
2027-08-01,GRASP_VNS,4307.9063
2027-12-02,ACS,2633.0000
2027-12-02,GRASP_VNS,4360.9063
2027-08-07,ACS,2741.0000
2027-08-07,GRASP_VNS,4539.7813
2027-09-05,ACS,2671.0000
2027-09-05,GRASP_VNS,4423.8438
2027-07-04,ACS,2637.0000
2027-07-04,GRASP_VNS,4202.7188
2027-06-09,ACS,3004.3750
2027-06-09,GRASP_VNS,4032.1875
2027-07-11,ACS,3188.7500
2027-07-11,GRASP_VNS,4464.2500
2027-07-03,ACS,2613.0000
2027-07-03,GRASP_VNS,4082.8125
2027-10-06,ACS,2591.0000
2027-10-06,GRASP_VNS,5182.0000
2027-11-05,ACS,2412.0000
2027-11-05,GRASP_VNS,4824.0000
2027-10-08,ACS,2511.0000
2027-10-08,GRASP_VNS,4237.3125
2027-07-10,ACS,3000.3750
2027-07-10,GRASP_VNS,4572.0000
2027-08-04,ACS,2977.4063
2027-08-04,GRASP_VNS,4886.0000
2027-06-03,ACS,2822.6875
2027-06-03,GRASP_VNS,4754.0000
2027-07-06,ACS,3678.1250
2027-07-06,GRASP_VNS,4708.0000
2027-10-02,ACS,3255.4688
2027-10-02,GRASP_VNS,4630.0000
2027-05-01,ACS,3465.2188
2027-05-01,GRASP_VNS,4526.0000
2027-09-10,ACS,3297.0000
2027-09-10,GRASP_VNS,4396.0000
2027-05-03,ACS,3106.1250
2027-05-03,GRASP_VNS,4729.7813
2027-05-05,ACS,3521.8750
2027-05-05,GRASP_VNS,4508.0000
